GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1003546780,20210911,202109,2021,2021.6877,,,,,,,,,,,BUS,INVESTOR,,,,,,BUS,,,1,040,040,04,1,1.0,80,8,80,2.74509803921568,0,,,,,,,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003546784,20210911,202109,2021,2021.6877,,,,,,,,,,,BUS,INVESTOR,,,,,,BUS,,,1,044,044,04,1,2.5,80,8,80,2.74509803921568,0,,,,,,,1,Mexico,MX,MX,23,-102,MX,1,Mexico,MX,MX,23,-102,MX,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003546991,20210911,202109,2021,2021.6877,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,042,042,04,1,1.9,12,3,12,0.92567259461924,0,,,,,,,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003546992,20210911,202109,2021,2021.6877,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,042,042,04,1,1.9,8,8,8,2.74509803921568,0,,,,,,,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,1,Mexico,MX,MX,23,-102,MX,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003547161,20210911,202109,2021,2021.6877,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,0,010,010,01,1,0.0,60,12,60,-0.1280409731114,4,"Vancouver, British Columbia, Canada",CA,CA02,49.25,-123.133,-575268,0,,,,,,,4,"Vancouver, British Columbia, Canada",CA,CA02,49.25,-123.133,-575268,20210911,https://www.albuquerqueexpress.com/news/271095971/ggx-gold-corp-initiates-bulk-sample-permit-on-the-cod-vein---historic-mining-camp---greenwood-bc
1003547176,20210911,202109,2021,2021.6877,BUS,INVESTOR,,,,,,BUS,,,,,,,,,,,,,1,040,040,04,1,1.0,80,8,80,2.74509803921568,1,Mexico,MX,MX,23,-102,MX,0,,,,,,,1,Mexico,MX,MX,23,-102,MX,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003548602,20210911,202109,2021,2021.6877,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,107,20,99,0.266633878897578,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,0,,,,,,,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003548603,20210911,202109,2021,2021.6877,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,8,8,8,2.74509803921568,2,"Michigan, United States",US,USMI,43.3504,-84.5603,MI,0,,,,,,,1,Mexico,MX,MX,23,-102,MX,20210911,https://www.stlouisstar.com/news/271095015/gold-resource-corporation-attending-the-gold-forum-americas--xpl-dev-2021-conference
1003554475,20210911,202109,2021,2021.6877,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,1,040,040,04,1,1.0,3,1,3,-2.28743827618958,4,"Calgary, Alberta, Canada",CA,CA01,51.0833,-114.083,-561990,0,,,,,,,4,"Calgary, Alberta, Canada",CA,CA01,51.0833,-114.083,-561990,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
1003554476,20210911,202109,2021,2021.6877,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,1,040,040,04,1,1.0,1,1,1,-4.47427293064877,4,"Calgary, Alberta, Canada",CA,CA01,51.0833,-114.083,-561990,0,,,,,,,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
1003554496,20210911,202109,2021,2021.6877,CAN,CANADIAN,CAN,,,,,,,,PTY,POLITICIAN,,,,,,,,,1,090,090,09,2,-2.0,30,3,30,-2.64665414809162,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
1003554705,20210911,202109,2021,2021.6877,FRA,FRENCH,FRA,,,,,,,,,,,,,,,,,,1,160,160,16,4,-4.0,22,3,22,-2.37354333566629,1,France,FR,FR,46,2,FR,0,,,,,,,1,France,FR,FR,46,2,FR,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
1003554800,20210911,202109,2021,2021.6877,GOV,PRESIDENT,,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,1,040,040,04,1,1.0,4,2,4,-4.47177333683277,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
1003554801,20210911,202109,2021,2021.6877,GOV,PRESIDENT,,,,,,GOV,,,CAN,CANADA,CAN,,,,,,,,1,040,040,04,1,1.0,2,2,2,-4.47177333683277,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,4,"Gatineau, Quebec, Canada",CA,CA10,45.4833,-75.65,-565140,20210911,https://www.calgarysun.com/opinion/columnists/goldstein-canadas-official-leaders-debates-a-farce
