Date,Gold_Price,sent_enc,increase_ind
2024-01-02,0.4431287541781306,0,-1
2024-01-03,0.4298699452874683,0,-1
2024-01-04,0.4314543552633472,0,1
2024-01-05,0.4317045118657061,0,1
2024-01-08,0.419362859022758,1,-1
2024-01-09,0.4198631722274766,1,1
2024-01-10,0.4162775094327235,1,-1
2024-01-11,0.419362859022758,1,1
2024-01-12,0.4347065183354228,2,1
2024-01-16,0.4196964859868399,1,-1
2024-01-17,0.4024349169756196,1,-1
2024-01-18,0.4151934126615633,2,1
2024-01-19,0.4198631722274766,2,1
2024-01-22,0.4139426296497668,2,-1
2024-01-23,0.4200299857095178,2,1
2024-01-24,0.4071046765415331,0,-1
2024-01-25,0.4132755029630071,0,1
2024-01-26,0.4121914061918472,2,-1
2024-01-29,0.4231988056612754,1,1
2024-01-30,0.4253668719621912,2,1
2024-01-31,0.4241994320707127,2,-1
2024-02-01,0.4405437177928142,2,1
2024-02-02,0.4255336854442324,2,-1
2024-02-05,0.4168612929991653,0,-1
2024-02-06,0.4250333722395136,0,1
2024-02-07,0.4246164021551131,2,-1
2024-02-08,0.4231988056612754,2,-1
2024-02-09,0.4171114496015242,2,-1
2024-02-12,0.4130253463606479,0,-1
2024-02-13,0.3915109878679137,0,-1
2024-02-14,0.3905937045787946,0,-1
2024-02-15,0.4009339773614633,1,1
2024-02-16,0.4066043633368146,1,1
2024-02-20,0.4160273528303642,1,1
2024-02-21,0.4161106959506819,2,1
2024-02-22,0.4167778226374417,2,1
2024-02-23,0.4256170285645502,2,1
2024-02-26,0.4221147088901151,1,-1
2024-02-27,0.4204469557939183,2,-1
2024-02-28,0.4232821487815938,2,1
2024-02-29,0.4313708849016235,2,1
2024-03-01,0.4612241361167475,2,1
2024-03-04,0.4872414406933543,1,1
2024-03-05,0.4970814002713042,1,1
2024-03-06,0.5105903657643254,0,1
2024-03-07,0.5200133552578756,0,1
2024-03-08,0.534106104317339,2,1
2024-03-11,0.5371914539073737,1,1
2024-03-12,0.5187624450046742,1,-1
2024-03-13,0.5304369711608627,1,1
2024-03-14,0.5234323318119924,0,-1
2024-03-15,0.5180954455593194,0,-1
2024-03-18,0.5207638250649536,2,1
2024-03-19,0.5188459153663973,2,-1
2024-03-20,0.5386923935215293,1,1
2024-03-21,0.5369412973050143,1,-1
2024-03-22,0.5234323318119924,2,-1
2024-03-25,0.5287692180646661,2,1
2024-03-26,0.5341894474376572,0,1
2024-03-27,0.5463642867985641,0,1
2024-03-28,0.5682121450139757,1,1
2024-04-01,0.5857238706275558,2,1
2024-04-02,0.6113242051197616,2,1
2024-04-03,0.6267512075527446,2,1
2024-04-04,0.6165777482521164,2,-1
2024-04-05,0.6467644991899175,2,1
2024-04-08,0.6579385848999824,1,1
2024-04-09,0.6678618875982512,2,1
2024-04-10,0.6506837889487533,2,-1
2024-04-11,0.6856237698141907,2,1
2024-04-12,0.6613575614540996,2,-1
2024-04-15,0.6952134455483767,2,1
2024-04-16,0.6974649822110153,2,1
2024-04-17,0.6838725463562709,1,-1
2024-04-18,0.6901267158980631,1,1
2024-04-19,0.6958805722351364,2,1
2024-04-22,0.6503502892260757,0,-1
2024-04-23,0.6459305590211166,0,-1
2024-04-24,0.6425950528287228,0,-1
2024-04-25,0.653268825334069,2,1
2024-04-26,0.6591060247914609,2,1
2024-04-29,0.6554368916349846,2,-1
2024-04-30,0.61949628436011,2,-1
2024-05-01,0.6355069431181295,1,1
2024-05-02,0.6300033706248203,1,-1
2024-05-03,0.6285857741309826,2,-1
2024-05-06,0.6472648123946361,0,1
2024-05-07,0.6390093900339697,2,-1
2024-05-08,0.6337558469016145,2,-1
2024-05-09,0.6618578746588182,1,1
2024-05-10,0.6765344072847232,1,1
2024-05-13,0.6561040183217448,0,-1
2024-05-14,0.6713642072726864,0,1
2024-05-15,0.6947131323436582,1,1
2024-05-16,0.6875416795127469,1,-1
2024-05-17,0.7178119008122705,2,1
2024-05-20,0.7253168533658592,2,1
2024-05-21,0.7225650034985023,2,-1
2024-05-22,0.6882088061995069,2,-1
2024-05-23,0.6516010722378722,2,-1
2024-05-24,0.653268825334069,2,1
2024-05-28,0.6721981474414871,2,1
2024-05-29,0.655270205394348,0,-1
2024-05-30,0.6586891819484655,0,1
2024-05-31,0.6480987525634372,2,-1
2024-06-03,0.6641094113214567,1,1
2024-06-04,0.6478485959610776,0,-1
2024-06-05,0.6691127978514526,0,1
2024-06-06,0.682538292982751,2,1
2024-06-07,0.6172448749388761,2,-1
2024-06-10,0.6334222199375321,2,1
2024-06-11,0.6385089495878462,2,1
2024-06-12,0.6432621795154825,0,1
2024-06-13,0.6286691172513006,0,-1
2024-06-14,0.65168441535819,2,1
2024-06-17,0.6423448962263638,1,-1
2024-06-18,0.6495163490572748,1,1
2024-06-20,0.6719479908391273,2,1
2024-06-21,0.643762492720201,2,-1
2024-06-24,0.6508506024307943,2,1
2024-06-25,0.6419279261419626,2,-1
2024-06-26,0.6254169541792249,2,-1
2024-06-27,0.6455137161781215,2,1
2024-06-28,0.6456804024187579,1,1
2024-07-01,0.6503502892260757,1,1
2024-07-02,0.6502668188643521,2,-1
2024-07-03,0.6705303943452905,2,1
2024-07-05,0.6950466320663355,0,1
2024-07-08,0.6721981474414871,0,-1
2024-07-09,0.6752834970315211,0,1
2024-07-10,0.6819546366577147,1,1
2024-07-11,0.7143929242581539,1,1
2024-07-12,0.7132254843666759,1,-1
2024-07-15,0.7192294973061086,2,1
2024-07-16,0.7564208875927796,1,1
2024-07-17,0.7475816816656713,1,-1
2024-07-18,0.7354903126664873,2,-1
2024-07-19,0.701717771692528,2,-1
